frequency,word,reason,include
117,work,Multiple meanings and phrasal verbs (work out/on),Y
118,down,Basic preposition,N
119,may,Modal verb,N
120,after,Basic preposition,N
121,should,Modal verb,N
122,call,Multiple meanings: phone/name/summon,Y
123,world,Abstract concept,Y
124,over,Basic preposition,N
125,school,Simple concrete noun,N
126,still,Multiple meanings: adverb vs adjective,Y
127,try,Phrasal verbs: try on/try out,Y
130,last,Multiple meanings: final/previous/verb (endure),Y
131,ask,Ultra-basic verb,N
132,need,Nuanced: need to/in need of,Y
133,too,Basic adverb,N
134,feel,Multiple meanings and idioms (feel like/up to),Y
135,three,Number,N
137,state,Multiple meanings: condition/government/verb,Y
138,never,Basic adverb,N
139,become,Nuanced linking verb,Y
140,between,Basic preposition,N
141,high,Multiple meanings: adjective/noun (high point),Y
142,something,Basic pronoun,N
143,really,Basic adverb,N
144,most,Basic determiner,N
145,another,Basic determiner,N
146,much,Basic determiner,N
147,family,Family term - direct translation,N
148,own,Multiple meanings: verb vs adjective,Y
150,leave,Multiple meanings: depart/allow/noun,Y
151,put,Ultra-basic verb,N
152,old,Ultra-basic adjective,N
153,while,Basic conjunction,N
154,mean,Multiple meanings: intend/signify/adjective (unkind),Y
156,keep,Multiple phrasal verbs (keep up/on/going),Y
157,student,Simple role noun,N
158,why,Basic question word,N
159,let,Nuanced: let alone/let go/let down,Y
160,great,Multiple meanings: size/quality/excellent,Y
161,same,Ultra-basic adjective,N
162,big,Ultra-basic adjective,N
163,group,Abstract concept,Y
164,begin,More formal than start - useful register,Y
165,seem,Nuanced linking verb,Y
166,country,Multiple meanings: nation vs rural area,Y
167,help,Ultra-basic verb,N
168,talk,Multiple meanings: verb vs noun,Y
169,where,Basic question word,N
170,turn,Multiple meanings: rotate/become/noun,Y
171,problem,Abstract noun,Y
172,every,Basic determiner,N
173,start,Ultra-basic verb,N
174,hand,Ultra-basic body part,N
175,might,Modal verb,N
176,american,Nationality - direct translation,N
177,show,Multiple meanings: display/demonstrate/noun,Y
178,part,Multiple meanings: portion/role/verb,Y
180,against,Nuanced preposition,Y
181,place,Multiple meanings: noun vs verb,Y
183,such,Nuanced usage - commonly misused,Y
184,again,Basic adverb,N
185,few,Basic determiner,N
186,case,Multiple meanings: instance/container/legal,Y
188,week,Simple time unit,N
189,company,Multiple meanings: business/companionship,Y
191,system,Abstract noun,Y
192,each,Basic determiner,N
193,right,Multiple meanings: correct/direction/entitlement,Y
194,program,Multiple meanings: software/plan/broadcast,Y
195,hear,Ultra-basic verb,N
197,question,Nuanced: noun and verb usage,Y
198,during,Basic preposition,N
200,play,Multiple meanings: game/perform/drama,Y
201,government,Abstract/political noun,Y
202,run,Multiple meanings: jog/operate/manage,Y
203,small,Ultra-basic adjective,N
204,number,Multiple meanings: numeral/quantity/verb,Y
205,off,Basic preposition,N
206,always,Basic adverb,N
207,move,Multiple meanings: relocate/action/emotion,Y
209,night,Ultra-basic noun,N
210,live,Multiple meanings: reside/adjective/broadcast,Y
211,point,Multiple meanings: tip/argument/score/verb,Y
212,believe,Nuanced usage,Y
213,hold,Multiple meanings: grasp/contain/event,Y
214,today,Basic time word,N
215,bring,Phrasal verbs: bring up/about/down,Y
216,happen,Nuanced usage,Y
217,next,Basic adjective/adverb,N
218,without,Basic preposition,N
219,before,Basic preposition,N
220,large,Ultra-basic adjective,N
222,million,Number,N
223,must,Modal verb,N
224,home,Ultra-basic noun,N
225,under,Basic preposition,N
226,water,Ultra-basic noun,N
227,room,Ultra-basic noun,N
228,write,Ultra-basic verb,N
229,mother,Family term,N
230,area,Abstract spatial concept,Y
231,national,Abstract adjective,Y
232,money,Ultra-basic noun,N
233,story,Multiple meanings: tale/floor of building,Y
234,young,Ultra-basic adjective,N
235,fact,Abstract noun,Y
236,month,Simple time unit,N
237,different,Ultra-basic adjective,N
238,lot,Multiple meanings: quantity/piece of land,Y
240,study,Multiple meanings: verb/noun/room,Y
241,book,Ultra-basic noun,N
242,eye,Ultra-basic body part,N
243,job,Simple noun,N
244,word,Simple noun,N
245,though,Nuanced conjunction/adverb,Y
246,business,Multiple meanings: commerce/matter,Y
247,four,Number,N
248,issue,Multiple meanings: problem/publication/verb,Y
249,side,Multiple meanings: edge/team/aspect,Y
250,kind,Multiple meanings: type vs adjective (nice),Y
251,head,Ultra-basic body part,N
252,far,Nuanced usage: so far/far from,Y
253,black,Simple color/adjective,N
254,long,Multiple meanings: length vs verb (yearn),Y
255,both,Basic determiner,N
256,little,Ultra-basic adjective,N
257,house,Ultra-basic noun,N
258,yes,Basic adverb,N
260,since,Multiple meanings: because/from that time,Y
262,provide,Formal verb,Y
263,service,Multiple meanings,Y
264,around,Basic preposition,N
265,friend,Ultra-basic noun,N
266,important,Nuanced adjective,Y
267,father,Family term,N
268,sit,Ultra-basic verb,N
269,away,Basic adverb,N
270,until,Basic preposition,N
271,power,Multiple meanings: strength/authority/electricity,Y
272,hour,Simple time unit,N
273,game,Simple noun,N
274,often,Basic adverb,N
275,yet,Basic conjunction/adverb,N
276,line,Multiple meanings: queue/mark/verse,Y
277,political,Abstract adjective,Y
278,end,Multiple meanings: conclusion/verb,Y
279,among,Nuanced preposition,Y
280,ever,Basic adverb,N
281,stand,Multiple meanings: position/tolerate/booth,Y
282,bad,Ultra-basic adjective,N
283,lose,Multiple meanings: misplace/fail/opposite of win,Y
284,however,Connector/transition - essential for writing,Y
285,member,Nuanced noun,Y
286,pay,Multiple meanings: compensation/verb,Y
287,law,Abstract noun,Y
288,meet,Multiple meanings: encounter/satisfy requirements,Y
289,car,Ultra-basic noun,N
290,city,Simple noun,N
291,almost,Basic adverb,N
292,include,Formal verb,Y
293,continue,Formal verb,Y
294,set,Multiple meanings: put/collection/adjust,Y
295,later,Basic adverb,N
296,community,Abstract noun,Y
298,name,Simple noun,N
299,five,Number,N
300,once,Multiple meanings: one time/as soon as,Y
301,white,Simple color,N
302,least,Nuanced: at least,Y
303,president,Simple title,N
304,learn,Nuanced usage,Y
305,real,Nuanced: real vs really,Y
307,team,Simple noun,N
308,minute,Multiple meanings: time/tiny,Y
309,best,Ultra-basic adjective,N
310,several,Nuanced determiner,Y
311,idea,Abstract noun,Y
312,kid,Ultra-basic noun,N
313,body,Ultra-basic noun,N
314,information,Abstract noun,Y
315,nothing,Basic pronoun,N
316,ago,Basic adverb,N
318,lead,Multiple meanings: guide/metal/pronunciation differs,Y
319,social,Abstract adjective,Y
320,understand,Nuanced verb,Y
321,whether,Nuanced conjunction (whether...or),Y
323,watch,Ultra-basic verb,N
324,together,Basic adverb,N
325,follow,Multiple meanings: pursue/understand,Y
327,parent,Family term,N
329,stop,Ultra-basic verb,N
330,face,Ultra-basic body part,N
331,anything,Basic pronoun,N
332,create,Nuanced verb,Y
333,public,Multiple meanings: noun/adjective,Y
334,already,Basic adverb,N
335,speak,Ultra-basic verb,N
336,others,Basic pronoun,N
337,read,Ultra-basic verb,N
338,level,Multiple meanings: degree/flat/verb,Y
339,allow,Formal verb,Y
340,add,Multiple meanings,Y
341,office,Multiple meanings: workplace/position,Y
342,spend,Nuanced usage,Y
343,door,Ultra-basic noun,N
344,health,Abstract noun,Y
345,person,Ultra-basic noun,N
346,art,Abstract noun,Y
347,sure,Nuanced: make sure/for sure,Y
349,war,Abstract/historical noun,Y
350,history,Abstract noun,Y
351,party,Multiple meanings: celebration/political group,Y
352,within,Formal preposition,Y
353,grow,Multiple meanings: increase/mature,Y
354,result,Multiple meanings: outcome/verb,Y
355,open,Multiple meanings: adjective/verb,Y
357,morning,Simple time word,N
358,walk,Ultra-basic verb,N
359,reason,Abstract noun,Y
360,low,Ultra-basic adjective,N
361,win,Simple verb,N
362,research,Abstract noun/verb,Y
363,girl,Ultra-basic noun,N
364,guy,Simple noun,N
365,early,Basic adverb/adjective,N
366,food,Ultra-basic noun,N
367,himself,Basic pronoun,N
369,moment,Abstract noun,Y
370,air,Multiple meanings: atmosphere/broadcast/manner,Y
371,teacher,Simple job title,N
372,force,Multiple meanings: power/compel,Y
373,offer,Multiple meanings: propose/noun,Y
374,enough,Nuanced usage,Y
376,education,Abstract noun,Y
377,across,Nuanced preposition,Y
378,although,Basic conjunction,N
379,remember,Nuanced verb,Y
380,foot,Ultra-basic body part,N
381,second,Multiple meanings: ordinal/time/verb (support),Y
382,boy,Ultra-basic noun,N
383,maybe,Basic adverb,N
384,toward,Nuanced preposition,Y
385,able,Nuanced: be able to,Y
386,age,Multiple meanings: noun/verb,Y
388,policy,Abstract noun,Y
389,everything,Basic pronoun,N
390,love,Multiple meanings: affection/verb/tennis term,Y
391,process,Abstract noun/verb,Y
392,music,Simple noun,N
393,including,Formal usage,Y
394,consider,Formal verb,Y
395,appear,Nuanced: seem/show up,Y
396,actually,Nuanced adverb,Y
397,buy,Ultra-basic verb,N
398,probably,Nuanced adverb,Y
399,human,Multiple meanings: adjective/noun,Y
400,wait,Ultra-basic verb,N
401,serve,Multiple meanings: help/function,Y
402,market,Multiple meanings: marketplace/stock/verb,Y
403,die,Multiple meanings: pass away/dice,Y
404,send,Ultra-basic verb,N
405,expect,Nuanced verb,Y
407,sense,Multiple meanings: feeling/meaning/verb,Y
408,build,Multiple meanings,Y
409,stay,Multiple meanings: remain/visit,Y
410,fall,Multiple meanings: drop/season/verb,Y
411,oh,Interjection,N
412,nation,Abstract noun,Y
413,plan,Multiple meanings: strategy/verb,Y
414,cut,Multiple meanings: slice/reduce/noun,Y
415,college,Cultural context helpful,Y
416,interest,Multiple meanings: curiosity/financial,Y
417,death,Abstract noun,Y
418,course,Multiple meanings: path/class/of course,Y
419,someone,Basic pronoun,N
420,experience,Multiple meanings: noun/verb,Y
421,behind,Multiple meanings: preposition/noun,Y
422,reach,Nuanced verb,Y
423,local,Nuanced adjective,Y
424,six,Number,N
425,kill,Multiple meanings: end life/slang excel,Y
426,remain,Formal verb,Y
427,effect,Multiple meanings: result/effect vs affect,Y
429,yeah,Interjection,N
430,suggest,Nuanced verb,Y
431,class,Multiple meanings: category/course/elegance,Y
432,control,Multiple meanings,Y
433,raise,Multiple meanings: lift/increase/bring up,Y
434,care,Multiple meanings: concern/caution,Y
435,perhaps,Formal adverb,Y
437,late,Multiple meanings: tardy/deceased,Y
438,hard,Multiple meanings: difficult/solid/adverb,Y
439,field,Multiple meanings: area/domain/sports,Y
440,else,Nuanced usage,Y
441,pass,Multiple meanings: go by/succeed/mountain pass,Y
442,former,Nuanced adjective,Y
443,sell,Multiple meanings,Y
444,major,Multiple meanings: important/military/university,Y
445,sometimes,Basic adverb,N
446,require,Formal verb,Y
447,along,Nuanced preposition,Y
448,development,Abstract noun,Y
449,themselves,Basic pronoun,N
450,report,Multiple meanings,Y
451,role,Abstract noun,Y
452,better,Ultra-basic adjective,N
453,economic,Abstract adjective,Y
454,effort,Abstract noun,Y
456,decide,Nuanced verb,Y
457,rate,Multiple meanings: speed/price/verb,Y
458,strong,Ultra-basic adjective,N
459,possible,Nuanced adjective,Y
460,heart,Multiple meanings: organ/center/courage,Y
461,drug,Multiple meanings: medicine/illegal substance,Y
463,leader,Abstract noun,Y
464,light,Multiple meanings: illumination/weight/verb,Y
465,voice,Multiple meanings: sound/expression,Y
466,wife,Family term,N
467,whole,Nuanced usage,Y
468,police,Nuanced usage,Y
469,mind,Multiple meanings: brain/verb (object),Y
470,finally,Connector/transition,Y
471,pull,Multiple meanings,Y
472,return,Multiple meanings,Y
473,free,Multiple meanings: liberty/no cost,Y
474,military,Abstract adjective/noun,Y
475,price,Multiple meanings,Y
477,less,Nuanced usage,Y
478,according,Formal: according to,Y
479,decision,Abstract noun,Y
480,explain,Nuanced verb,Y
481,son,Family term,N
482,hope,Multiple meanings: wish/noun,Y
484,develop,Nuanced verb,Y
485,view,Multiple meanings: opinion/scenery/verb,Y
486,relationship,Abstract noun,Y
487,carry,Multiple meanings,Y
488,town,Simple noun,N
489,road,Simple noun,N
490,drive,Multiple meanings: operate/motivation,Y
491,arm,Multiple meanings: body part/weapon/verb,Y
492,true,Nuanced usage,Y
493,federal,Political/abstract adjective,Y
494,break,Multiple meanings,Y
496,difference,Abstract noun,Y
497,receive,Formal verb,Y
498,thank,Ultra-basic verb,N
499,value,Multiple meanings: worth/principle,Y
500,international,Abstract adjective,Y
548,situation,Abstract noun,Y
549,easy,Ultra-basic adjective,N
550,cost,Multiple meanings: noun/verb,Y
551,industry,Abstract noun,Y
552,figure,Multiple meanings: number/shape/person/verb,Y
554,street,Simple concrete noun,N
555,image,Multiple meanings: picture/reputation,Y
556,itself,Pronoun,N
557,phone,Simple concrete noun,N
558,either,Nuanced usage,Y
559,data,Abstract noun - plural usage nuances,Y
560,cover,Multiple meanings: hide/include/noun,Y
561,quite,Nuanced adverb - British vs American,Y
562,picture,Multiple meanings: image/verb imagine,Y
563,clear,Multiple meanings: adjective/verb,Y
564,practice,Multiple meanings: noun/verb/custom,Y
565,piece,Multiple meanings: portion/artwork,Y
566,land,Multiple meanings: earth/arrive/verb,Y
567,recent,Nuanced adjective,Y
568,describe,Nuanced verb,Y
569,product,Abstract noun,Y
570,doctor,Simple job title,N
571,wall,Simple concrete noun,N
572,patient,Multiple meanings: noun/adjective,Y
573,worker,Simple job title,N
574,news,Nuanced uncountable noun,Y
575,test,Multiple meanings,Y
576,movie,Simple noun,N
577,certain,Nuanced usage,Y
578,north,Simple direction/geography,N
580,personal,Abstract adjective,Y
583,simply,Nuanced adverb,Y
584,third,Ordinal number,N
585,technology,Abstract noun,Y
586,catch,Multiple meanings: grab/understand/noun,Y
587,step,Multiple meanings: pace/action/verb,Y
588,baby,Ultra-basic noun,N
589,computer,Simple concrete noun,N
590,type,Multiple meanings: kind/verb,Y
591,attention,Abstract noun,Y
592,draw,Multiple meanings: sketch/attract/tie,Y
593,film,Multiple meanings: movie/layer/verb,Y
594,republican,Political party name,N
595,organization,Abstract noun,Y
596,tree,Simple concrete noun,N
597,source,Abstract noun,Y
598,red,Simple color,N
599,nearly,Nuanced adverb,Y
600,choose,Nuanced verb,Y
601,cause,Multiple meanings: reason/verb,Y
602,hair,Ultra-basic body part,N
605,century,Time concept - useful context,Y
606,evidence,Abstract noun,Y
607,window,Simple concrete noun,N
608,difficult,Ultra-basic adjective,N
609,listen,Ultra-basic verb,N
610,soon,Basic adverb,N
611,culture,Abstract noun,Y
612,billion,Number,N
613,chance,Multiple meanings: opportunity/probability,Y
614,brother,Family term,N
615,energy,Abstract noun,Y
616,realize,Nuanced verb - spelling variants,Y
617,period,Multiple meanings: time/punctuation,Y
619,summer,Simple season,N
621,hundred,Number,N
622,available,Nuanced adjective,Y
623,plant,Multiple meanings: flora/factory/verb,Y
624,likely,Nuanced adjective/adverb,Y
625,opportunity,Abstract noun,Y
626,term,Multiple meanings: word/period/condition,Y
627,short,Ultra-basic adjective,N
628,letter,Multiple meanings: mail/character,Y
629,condition,Multiple meanings: state/requirement,Y
630,choice,Abstract noun,Y
632,single,Multiple meanings: one/unmarried,Y
633,rule,Multiple meanings: regulation/verb,Y
634,daughter,Family term,N
635,administration,Abstract noun,Y
636,south,Simple direction,N
637,husband,Family term,N
638,congress,Specific political body,N
639,floor,Multiple meanings: ground/level,Y
640,campaign,Abstract noun/verb,Y
641,material,Multiple meanings: substance/adjective,Y
642,population,Abstract noun,Y
645,economy,Abstract noun,Y
646,medical,Abstract adjective,Y
647,hospital,Simple concrete noun,N
648,church,Simple concrete noun,N
649,close,Multiple meanings: near/verb/adjective,Y
650,risk,Abstract noun/verb,Y
651,thousand,Number,N
652,current,Multiple meanings: present/flow,Y
653,fire,Multiple meanings: flame/verb dismiss,Y
654,future,Abstract noun/adjective,Y
655,wrong,Ultra-basic adjective,N
656,involve,Nuanced verb,Y
657,defense,Abstract noun,Y
658,behavior,Abstract noun,Y
659,anyone,Basic pronoun,N
660,increase,Multiple meanings: noun/verb,Y
661,security,Abstract noun,Y
662,myself,Pronoun,N
663,bank,Multiple meanings: financial/river,Y
664,certainly,Nuanced adverb,Y
665,west,Simple direction,N
666,sport,Simple noun,N
667,board,Multiple meanings: panel/organization/verb,Y
668,seek,Formal verb,Y
669,per,Basic preposition,N
670,subject,Multiple meanings: topic/verb/adjective,Y
671,officer,Multiple meanings: police/military/corporate,Y
672,private,Multiple meanings: adjective/noun,Y
673,rest,Multiple meanings: relax/remainder,Y
674,deal,Multiple meanings: agreement/verb,Y
675,performance,Abstract noun,Y
676,fight,Multiple meanings,Y
677,throw,Multiple meanings: toss/confuse,Y
678,top,Multiple meanings: highest/verb,Y
679,quickly,Basic adverb,N
680,past,Multiple meanings: preposition/noun/adjective,Y
681,goal,Multiple meanings: aim/sports,Y
683,bed,Ultra-basic noun,N
684,order,Multiple meanings: sequence/command/request,Y
685,author,Multiple meanings: writer/verb,Y
686,fill,Multiple meanings,Y
687,represent,Nuanced verb,Y
688,focus,Multiple meanings,Y
689,foreign,Abstract adjective,Y
690,drop,Multiple meanings,Y
692,blood,Ultra-basic body substance,N
693,upon,Formal preposition,Y
694,agency,Abstract noun,Y
695,push,Multiple meanings,Y
696,nature,Multiple meanings: environment/character,Y
697,color,Simple noun,N
699,recently,Nuanced adverb,Y
700,store,Multiple meanings: shop/verb,Y
701,reduce,Formal verb,Y
702,sound,Multiple meanings: noise/adjective/verb,Y
703,note,Multiple meanings: message/music/verb,Y
704,fine,Multiple meanings: good/penalty/adjective,Y
706,near,Basic preposition/adjective,N
707,movement,Abstract noun,Y
708,page,Multiple meanings: paper/verb/person,Y
709,enter,Nuanced verb,Y
710,common,Multiple meanings: ordinary/shared,Y
711,share,Multiple meanings: portion/verb,Y
713,poor,Multiple meanings: not rich/unfortunate,Y
715,natural,Nuanced adjective,Y
716,race,Multiple meanings: ethnicity/competition/verb,Y
717,concern,Multiple meanings: worry/company/verb,Y
718,series,Nuanced noun,Y
719,significant,Nuanced adjective,Y
720,similar,Nuanced adjective,Y
721,hot,Ultra-basic adjective,N
722,language,Abstract noun,Y
724,usually,Basic adverb,N
725,response,Abstract noun,Y
726,dead,Multiple meanings: not alive/completely,Y
727,rise,Multiple meanings: increase/get up,Y
728,animal,Simple concrete noun,N
729,factor,Abstract noun,Y
730,decade,Time concept,Y
731,article,Multiple meanings: writing/item,Y
732,shoot,Multiple meanings: fire/photograph,Y
733,east,Simple direction,N
734,seven,Number,N
735,save,Multiple meanings: rescue/except,Y
736,artist,Simple job title,N
738,scene,Multiple meanings: view/situation,Y
739,eight,Number,N
740,stock,Multiple meanings: inventory/shares,Y
741,career,Abstract noun,Y
742,despite,Nuanced preposition,Y
743,central,Abstract adjective,Y
744,thus,Connector/formal adverb,Y
745,treatment,Abstract noun,Y
746,beyond,Nuanced preposition,Y
747,happy,Ultra-basic adjective,N
748,exactly,Nuanced adverb,Y
749,protect,Nuanced verb,Y
750,approach,Multiple meanings: method/verb,Y
751,lie,Multiple meanings: recline/untruth,Y
752,size,Multiple meanings,Y
753,dog,Ultra-basic animal,N
754,fund,Multiple meanings: money/verb,Y
755,serious,Nuanced adjective,Y
756,occur,Formal verb,Y
757,media,Abstract noun - plural issues,Y
758,ready,Ultra-basic adjective,N
759,sign,Multiple meanings: symbol/verb,Y
760,thought,Abstract noun,Y
761,list,Multiple meanings,Y
762,individual,Multiple meanings: adjective/noun,Y
763,simple,Ultra-basic adjective,N
764,quality,Abstract noun,Y
765,pressure,Multiple meanings,Y
766,accept,Nuanced verb,Y
767,answer,Multiple meanings,Y
769,resource,Abstract noun,Y
770,identify,Nuanced verb,Y
771,left,Multiple meanings: remaining/direction/past tense,Y
772,meeting,Multiple meanings,Y
773,determine,Formal verb,Y
774,prepare,Nuanced verb,Y
775,disease,Abstract noun,Y
776,whatever,Nuanced usage,Y
777,success,Abstract noun,Y
778,argue,Nuanced verb,Y
779,recognize,Nuanced verb,Y
780,cup,Simple concrete noun,N
781,particularly,Nuanced adverb,Y
782,amount,Abstract noun,Y
783,ability,Abstract noun,Y
784,staff,Multiple meanings: employees/stick,Y
785,indicate,Formal verb,Y
786,character,Multiple meanings: person/trait,Y
787,growth,Abstract noun,Y
788,loss,Abstract noun,Y
789,degree,Multiple meanings: extent/temperature/academic,Y
790,wonder,Multiple meanings: verb/noun,Y
791,attack,Multiple meanings,Y
792,herself,Pronoun,N
793,region,Abstract noun,Y
794,television,Simple concrete noun,N
795,box,Simple concrete noun,N
796,training,Abstract noun,Y
797,pretty,Multiple meanings: attractive/adverb,Y
799,everybody,Basic pronoun,N
800,trade,Multiple meanings: commerce/exchange,Y
801,election,Abstract noun,Y
802,physical,Multiple meanings: adjective/noun exam,Y
803,lay,Multiple meanings: put down/past of lie,Y
804,general,Multiple meanings: adjective/military rank,Y
805,feeling,Abstract noun,Y
806,standard,Multiple meanings: norm/adjective,Y
807,message,Multiple meanings,Y
808,fail,Nuanced verb,Y
810,outside,Multiple meanings,Y
811,arrive,Nuanced verb,Y
812,analysis,Abstract noun,Y
813,benefit,Multiple meanings: noun/verb,Y
815,sex,Multiple meanings: gender/intercourse,Y
816,forward,Multiple meanings,Y
817,lawyer,Simple job title,N
818,present,Multiple meanings: gift/now/verb,Y
819,section,Multiple meanings,Y
820,environmental,Abstract adjective,Y
821,glass,Multiple meanings: material/container,Y
822,skill,Abstract noun,Y
824,sister,Family term,N
825,pm,Abbreviation,N
826,professor,Simple job title,N
827,operation,Multiple meanings,Y
828,financial,Abstract adjective,Y
829,crime,Abstract noun,Y
830,stage,Multiple meanings: phase/platform/verb,Y
831,ok,Interjection/basic,N
832,compare,Nuanced verb,Y
833,authority,Abstract noun,Y
834,miss,Multiple meanings: fail to hit/title/long for,Y
835,design,Multiple meanings,Y
836,sort,Multiple meanings: kind/verb,Y
838,act,Multiple meanings: action/perform/law,Y
839,ten,Number,N
840,knowledge,Abstract noun,Y
841,gun,Simple concrete noun,N
842,station,Multiple meanings: place/status,Y
843,blue,Simple color,N
845,strategy,Abstract noun,Y
847,clearly,Nuanced adverb,Y
848,discuss,Nuanced verb,Y
849,indeed,Connector/formal adverb,Y
851,truth,Abstract noun,Y
852,song,Simple noun,N
853,example,Abstract noun,Y
854,democratic,Abstract adjective,Y
855,check,Multiple meanings: verify/cheque,Y
856,environment,Abstract noun,Y
857,leg,Ultra-basic body part,N
858,dark,Ultra-basic adjective,N
860,various,Nuanced determiner,Y
861,rather,Nuanced adverb,Y
862,laugh,Multiple meanings,Y
863,guess,Multiple meanings,Y
864,executive,Multiple meanings: noun/adjective,Y
867,prove,Nuanced verb,Y
868,hang,Multiple meanings: suspend/spend time,Y
869,entire,Nuanced adjective,Y
870,rock,Multiple meanings: stone/music/verb,Y
873,forget,Nuanced verb,Y
875,claim,Multiple meanings: assert/demand,Y
877,remove,Formal verb,Y
878,manager,Simple job title,N
882,enjoy,Nuanced verb,Y
883,network,Multiple meanings,Y
884,legal,Abstract adjective,Y
885,religious,Abstract adjective,Y
886,cold,Ultra-basic adjective,N
888,final,Nuanced adjective,Y
889,main,Nuanced adjective,Y
890,science,Abstract noun,Y
891,green,Simple color,N
892,memory,Multiple meanings,Y
893,card,Multiple meanings,Y
894,above,Multiple meanings,Y
895,seat,Multiple meanings: chair/position,Y
896,cell,Multiple meanings: biological/room/phone,Y
897,establish,Formal verb,Y
898,nice,Ultra-basic adjective,N
899,trial,Multiple meanings: legal/test,Y
900,expert,Multiple meanings: noun/adjective,Y
902,spring,Multiple meanings: season/jump/water source,Y
903,firm,Multiple meanings: company/adjective,Y
904,democrat,Political party name,N
905,radio,Simple concrete noun,N
906,visit,Multiple meanings,Y
907,management,Abstract noun,Y
909,avoid,Nuanced verb,Y
910,imagine,Nuanced verb,Y
911,tonight,Simple time word,N
912,huge,Ultra-basic adjective,N
913,ball,Simple concrete noun,N
916,yourself,Pronoun,N
917,finish,Multiple meanings,Y
919,theory,Abstract noun,Y
920,impact,Multiple meanings,Y
921,respond,Formal verb,Y
922,statement,Abstract noun,Y
923,maintain,Formal verb,Y
924,charge,Multiple meanings: cost/accuse/power,Y
925,popular,Nuanced adjective,Y
926,traditional,Abstract adjective,Y
927,onto,Basic preposition,N
928,reveal,Nuanced verb,Y
929,direction,Multiple meanings,Y
930,weapon,Abstract noun,Y
931,employee,Nuanced noun,Y
932,contain,Nuanced verb,Y
933,cultural,Abstract adjective,Y
934,peace,Abstract noun,Y
938,pain,Multiple meanings: physical/emotional,Y
939,apply,Multiple meanings: use/request,Y
941,wide,Ultra-basic adjective,N
942,measure,Multiple meanings,Y
943,shake,Multiple meanings,Y
944,fly,Multiple meanings: insect/verb,Y
945,interview,Multiple meanings,Y
946,manage,Nuanced verb,Y
